Gene,p_value,effect_size
MBTPS1,0.5431012686942756,0.228885350819692
MBTPS1-DT,0.13916036756659084,0.5663016354344864
MC1R,0.33527233508143783,0.364573751013376
MCAM,0.13707966578584513,0.5694256675719305
MCAT,0.09633467338885938,0.6402672130238268
MCC,0.07686852144486554,0.6835646062123754
MCCC1,0.11220900858483762,0.610149355409571
MCCC2,0.011637537892999544,1.0058246795739625
MCEMP1,0.9871240711053534,0.006052964153031816
MCF2L,0.5761759503958108,0.21027248520455866
MCF2L-AS1,0.12272599620055741,0.5921020448983453
MCF2L2,0.9365390391411124,0.02986488304039107
MCF2L2P1,0.9519273491037743,0.022612341668627148
MCFD2,0.2618868566398658,0.42583414279702075
MCHR1,0.8761640277562558,0.05846157501208949
MCHR2-AS1,0.48738472404645994,0.2616606071303533
MCIDAS,0.2968833992426118,0.39528536708409695
MCM10,0.8379460473346929,0.07673956460096251
MCM2,0.10632366285290082,0.6208718689492463
MCM3,0.7866300197726399,0.1015967977569443
MCM3AP,0.7983092698911541,0.09590211657533905
MCM3AP-AS1,0.9102662474802847,0.04227619901599999
MCM4,0.24060682550404933,0.4458916010878299
MCM5,0.5899623485611802,0.20267361474209147
MCM6,0.6039679283020127,0.19504192039297086
MCM7,0.9648048803973761,0.016550111499182736
MCM9,0.6003364693775958,0.197012491815105
MCOLN1,0.5126213608987255,0.24657313220481786
MCOLN3,0.1549377371817141,0.5437695357224552
MCPH1,0.9821587786511587,0.008387498140129523
MCPH1-DT,0.2043744908376848,0.48333232941117804
MCRIP1,0.06441045980351964,0.7165344537300917
MCRIP2,0.7603375935932881,0.11450988546145406
MCRIP2P1,0.9804191606183079,0.009205491517453469
MCRS1,0.8964823403043642,0.048806433409144964
MCTS1,0.37598152040883626,0.3345189268235453
MCTS2,0.7577489197767909,0.11578876792965352
MCU,0.760086504589381,0.11463386934886093
MCUB,0.834579789091122,0.07835807735709244
MCUR1,0.9691877599418451,0.014487951059902074
MDC1,0.39071693564203924,0.32417019775849426
MDGA1,0.1600790548650483,0.5368264389099228
MDGA2,0.7292904380827205,0.12994582235890395
MDH2,0.8149529325405988,0.08782655651942703
MDK,0.18456327425727304,0.5060049361117568
MDM2,0.23813470100436523,0.4483057893600947
MDS2,0.9037643034900809,0.0453547325078631
ME1,0.4863029468464759,0.262317080147206
ME2,0.5217951504674676,0.2411911085218372
ME2P1,0.5730605725342731,0.21200207719912098
MEAF6,0.36228010212325257,0.34438148268573
MEAK7,0.07812734388127036,0.6804959152670865
MECP2,0.21003245480181174,0.47716985614098956
MECR,0.39364113248778776,0.3221465745882922
MED1,0.2224717313386564,0.4640542892458363
MED12,0.3603887197139457,0.34576214009514017
MED13,0.5858921812035627,0.20490786257243326
MED13L,0.36610705292236434,0.34160242414816555
MED15,0.41555577231100527,0.30727656949994725
MED15P5,0.3571556362864958,0.34813337512547626
MED15P8,0.34165485970428267,0.3597058308004614
MED15P9,0.4968292074241586,0.25596408510279794
MED16,0.6044991113538173,0.19475415247015734
MED18,0.6083247670080454,0.19268513019147593
MED20,0.9409222812819574,0.0277979756689323
MED24,0.1160360206805271,0.6034258366234584
MED25,0.5172959160382389,0.2438241685120914
MED26,0.13245755451384686,0.5765062494217317
MED28P8,0.03750913665477804,0.8130491569205813
MED29,0.989256324262079,0.0050505232466012025
MED4,0.10832940343474914,0.617163126648017
MED8,0.5945759596204114,0.20015010235136954
MED9,0.5220201155162628,0.2410597786720989
MEDAG,0.45378966069659,0.28245677527566326
MEF2A,0.3059734297715271,0.3877741870663807
MEF2B,0.9130085447648396,0.04097869281530716
MEF2C,0.3816886984759509,0.3304801293619041
MEF2C-AS1,0.3816886984759509,0.3304801293619041
MEF2C-AS2,0.8402359876357149,0.0756394132614112
MEF2D,0.34971709350484426,0.35364384164383805
MEFV,0.2363189291666114,0.45009093733803784
MEG3,0.6157217179348976,0.18870190548173166
MEG8,0.7575856808677978,0.11586946019730845
MEG9,0.9977339006772425,0.0010652441926642402
MEGF11,0.14727555295050446,0.5544683553253594
