Triplet_ID,Gene_Ensembl_ID,Gene_Symbol,miRNA_Name,Sample_Size,B12_Variable_Used,Target_log2FC,Target_Direction,miRNA_log2FC,miRNA_Direction,Methylation_Direction,Methylation_Value,Path_a,Path_a_pvalue,Path_b,Path_b_pvalue,Path_c,Path_c_prime,ACME,Total_Effect,Proportion_Mediated,R2_Mediator,R2_Outcome,Path_a_Significant,Path_b_Significant,Mediation_Significant
LHX8_hsa-miR-5699-5p_18962,ENSG00000162624,LHX8,hsa-miR-5699-5p,50,B12_numeric,29.91083438,Up-regulated,1.290425782,Up-regulated,Hypomethylated,-0.438134154,-0.0007389394097715554,0.020387763532365266,-0.051342326283554986,0.34942767343885905,-0.00020007690572427709,-0.00023801577400454484,3.793886828026874e-05,-0.00020007690572427709,-0.1896214265356128,0.09011658560597857,0.08690214058115464,True,False,False
LHX8_hsa-miR-5699-5p_18963,ENSG00000162624,LHX8,hsa-miR-5699-5p,50,B12_numeric,29.91083438,Up-regulated,1.290425782,Up-regulated,Hypomethylated,-0.515227874,-0.0007389394097715554,0.020387763532365266,-0.051342326283554986,0.34942767343885905,-0.00020007690572427709,-0.00023801577400454484,3.793886828026874e-05,-0.00020007690572427709,-0.1896214265356128,0.09011658560597857,0.08690214058115464,True,False,False
LHX8_hsa-miR-5699-5p_18964,ENSG00000162624,LHX8,hsa-miR-5699-5p,50,B12_numeric,29.91083438,Up-regulated,1.290425782,Up-regulated,Hypomethylated,-1.404394964,-0.0007389394097715554,0.020387763532365266,-0.051342326283554986,0.34942767343885905,-0.00020007690572427709,-0.00023801577400454484,3.793886828026874e-05,-0.00020007690572427709,-0.1896214265356128,0.09011658560597857,0.08690214058115464,True,False,False
LHX8_hsa-miR-576-5p_18962,ENSG00000162624,LHX8,hsa-miR-576-5p,50,B12_numeric,29.91083438,Up-regulated,-0.467290092,Down-regulated,Hypomethylated,-0.438134154,0.0064452437676036116,0.43050680241570305,-0.00027151479410814604,0.8962518908983457,-0.00020007690572427709,-0.00019832692668973932,-1.749979034537706e-06,-0.00020007690572427709,0.008746531880842486,0.09776136266831503,0.07071586193003643,False,False,False
LHX8_hsa-miR-576-5p_18963,ENSG00000162624,LHX8,hsa-miR-576-5p,50,B12_numeric,29.91083438,Up-regulated,-0.467290092,Down-regulated,Hypomethylated,-0.515227874,0.0064452437676036116,0.43050680241570305,-0.00027151479410814604,0.8962518908983457,-0.00020007690572427709,-0.00019832692668973932,-1.749979034537706e-06,-0.00020007690572427709,0.008746531880842486,0.09776136266831503,0.07071586193003643,False,False,False
LHX8_hsa-miR-576-5p_18964,ENSG00000162624,LHX8,hsa-miR-576-5p,50,B12_numeric,29.91083438,Up-regulated,-0.467290092,Down-regulated,Hypomethylated,-1.404394964,0.0064452437676036116,0.43050680241570305,-0.00027151479410814604,0.8962518908983457,-0.00020007690572427709,-0.00019832692668973932,-1.749979034537706e-06,-0.00020007690572427709,0.008746531880842486,0.09776136266831503,0.07071586193003643,False,False,False
LHX8_novel_517_18962,ENSG00000162624,LHX8,novel_517,50,B12_numeric,29.91083438,Up-regulated,9.2273688,Up-regulated,Hypomethylated,-0.438134154,7.578647358090279e-05,0.2800071950607499,-0.07991433140972988,0.7472872523325123,-0.00020007690572427709,-0.00019402048035815683,-6.056425366119003e-06,-0.00020007690572427709,0.03027048696197486,0.0624039035246412,0.07242679485501125,False,False,False
LHX8_novel_517_18963,ENSG00000162624,LHX8,novel_517,50,B12_numeric,29.91083438,Up-regulated,9.2273688,Up-regulated,Hypomethylated,-0.515227874,7.578647358090279e-05,0.2800071950607499,-0.07991433140972988,0.7472872523325123,-0.00020007690572427709,-0.00019402048035815683,-6.056425366119003e-06,-0.00020007690572427709,0.03027048696197486,0.0624039035246412,0.07242679485501125,False,False,False
LHX8_novel_517_18964,ENSG00000162624,LHX8,novel_517,50,B12_numeric,29.91083438,Up-regulated,9.2273688,Up-regulated,Hypomethylated,-1.404394964,7.578647358090279e-05,0.2800071950607499,-0.07991433140972988,0.7472872523325123,-0.00020007690572427709,-0.00019402048035815683,-6.056425366119003e-06,-0.00020007690572427709,0.03027048696197486,0.0624039035246412,0.07242679485501125,False,False,False
LHX8_hsa-miR-134-3p_18962,ENSG00000162624,LHX8,hsa-miR-134-3p,50,B12_numeric,29.91083438,Up-regulated,0.954166603,Up-regulated,Hypomethylated,-0.438134154,-0.0014550809890172512,0.027157091485425333,0.006282203094706976,0.8119935250668413,-0.00020007690572427709,-0.00019093579143202385,-9.141114292253463e-06,-0.00020007690572427709,0.045688003116415105,0.10101981404353855,0.07145730737318501,True,False,False
LHX8_hsa-miR-134-3p_18963,ENSG00000162624,LHX8,hsa-miR-134-3p,50,B12_numeric,29.91083438,Up-regulated,0.954166603,Up-regulated,Hypomethylated,-0.515227874,-0.0014550809890172512,0.027157091485425333,0.006282203094706976,0.8119935250668413,-0.00020007690572427709,-0.00019093579143202385,-9.141114292253463e-06,-0.00020007690572427709,0.045688003116415105,0.10101981404353855,0.07145730737318501,True,False,False
LHX8_hsa-miR-134-3p_18964,ENSG00000162624,LHX8,hsa-miR-134-3p,50,B12_numeric,29.91083438,Up-regulated,0.954166603,Up-regulated,Hypomethylated,-1.404394964,-0.0014550809890172512,0.027157091485425333,0.006282203094706976,0.8119935250668413,-0.00020007690572427709,-0.00019093579143202385,-9.141114292253463e-06,-0.00020007690572427709,0.045688003116415105,0.10101981404353855,0.07145730737318501,True,False,False
