Gene,p_value,effect_size
ADRA2A,0.6784245040488326,0.16684206677268948
ADRB1,0.034284167396226625,0.8902253701678055
ADRB3,0.28494907768465494,0.1997816034892974
ADRM1,0.37095103453309664,0.3747604257436743
ADSL,0.6784245040488326,0.11659206610371156
ADSS1,0.0771336684412056,0.5585710563198207
ADTRP,0.23006229802639666,0.515820183762938
AEBP1,0.21355772865776912,0.433326987594896
AEBP2,0.6784245040488326,0.10211737740995186
AEN,0.6784245040488326,0.15106500641100298
AFAP1,0.37095103453309664,0.5089164220812199
AFAP1-AS1,0.810299496070296,0.09837345459815144
AFAP1L1,0.810299496070296,0.11439203882075456
AFAP1L2,0.00558214360906498,1.132936659871176
AFDN,0.6784245040488326,0.10273878067137072
AFF1,0.2657465520914202,0.32690619407148874
AFF1-AS1,0.810299496070296,0.17147631608751676
AFF3,0.4194324996066613,0.2965830153393288
AFF4,0.9131160800723744,0.14622810585274196
AFG1L,0.7106595685403921,0.06540830328429195
AFG2B,0.3480712878701422,0.27426985062474946
AFG3L1P,1.0,0.21043339383326143
AFG3L2,0.08472204560508317,0.6998748933389561
AFG3L2P1,0.9825901131969854,0.3446068877755102
AFMID,0.6467674040054682,0.231858770226517
AGA,0.4194324996066613,0.3390228078907535
AGAP1,0.6784245040488326,0.21273949579526355
AGAP10P,0.3261094520204889,0.38584710642140885
AGAP11,0.5557349624423149,0.2703905744490437
AGAP2,0.16920192165920167,0.277900946170702
AGAP3,0.8443001476220315,0.04702022685371439
AGAP5,0.445008718746736,0.32186960076605897
AGAP6,0.9478034802354203,0.08695492609170101
AGBL1,0.37095103453309664,0.23645130561890138
AGBL2,0.08472204560508317,0.5963935142010716
AGBL3,0.4194324996066613,0.22693896373594497
AGBL5,0.37095103453309664,0.3642707715772729
AGBL5-IT1,0.2657465520914202,0.3902536723149169
AGER,0.5853789284609614,0.21497680901191268
AGFG2,0.5557349624423149,0.092160907997976
AGGF1P10,0.16920192165920167,0.5328957148077847
AGGF1P4,0.3947417052130072,0.18725408881428823
AGGF1P7,0.8443001476220315,0.19990114010169066
AGGF1P8,0.2657465520914202,0.41289697354049654
AGK,0.7106595685403921,0.17068529203047578
AGK-DT,0.810299496070296,0.08869683055484832
AGL,0.4194324996066613,0.32293252306343945
AGMO,0.7434206976952524,0.1617272553910737
AGO2,0.07010858465571475,0.46049708044950044
AGO3,0.7434206976952524,0.16208867750593772
AGO4,0.7766531265771661,0.08772525103782483
AGPAT1,0.5853789284609614,0.21497680901191268
AGPAT2,0.7106595685403921,0.1172389525941009
AGPAT3,0.8785934392551416,0.07166014054621543
AGPAT4,0.6467674040054682,0.1381990214520353
AGRN,0.5557349624423149,0.26039257660852394
AGRP,0.810299496070296,0.17592549835897023
AGT,0.10170693003109327,0.6026753816696374
AGTPBP1,0.3947417052130072,0.21929307562972025
AGTRAP,0.3261094520204889,0.30124670639404355
AGXT,0.6784245040488326,0.2581280276564979
AGXT2,0.7434206976952524,0.12110290496382345
AHCY,0.4714517068389269,0.22770939506731966
AHCYL2,0.3947417052130072,0.4022698534499469
AHDC1,0.7434206976952524,0.20931157066220699
AHI1,0.8443001476220315,0.11080220237203893
AHNAK,0.4714517068389269,0.2688836529184931
AHNAK2,0.7106595685403921,0.19122887381452525
AHRR,0.6467674040054682,0.13857700847077356
AHSA1,0.9825901131969854,0.30366307560134337
AHSA2P,0.1437248058279078,0.6981297036698488
AHSG,0.09290328709689505,0.5835493961882251
AIF1L,0.16920192165920167,0.5119383870241514
AIFM1,0.6784245040488326,0.13255350725487125
AIFM2,0.8443001476220315,0.08977951282523865
AIFM3,0.09290328709689505,0.8125980938350328
AIMP1,0.1979251021111571,0.5451131483817062
AIMP1P2,0.6784245040488326,0.1944030057731551
AIP,0.7766531265771661,0.1177626951286103
AIPL1,0.5557349624423149,0.25861595514749147
AIRE,0.810299496070296,0.16288058812402526
AIRIM,0.9651842293152645,0.040123309254055294
